Name,Ticker,"Sub-Sector","Market Cap","Percentage Buy Reco’s","Percentage Upside","No. of analysts with buy reco","Percentage Sell Reco's","Percentage Hold Reco's","Total no. of analysts"
Rail Vikas Nigam Ltd,RVNL,"Specialized Finance","56212.141896","0","-24.332344213649858","0","66.66666666666667","33.333333333333336","3"
Fertilisers And Chemicals Travancore Ltd,FACT,"Fertilizers & Agro Chemicals","56120.55230501999","0",,"0","0","0",
Max Financial Services Ltd,MFSL,"Insurance","56094.95487834","100","26.738033714777895","25","0","0","25"
HDB Financial Services Ltd,HDBFS,"Consumer Finance","55785.506099959995","53.84615384615385","12.11761211761212","7","0","46.15384615384615","13"
Coromandel International Ltd,COROMANDEL,"Fertilizers & Agro Chemicals","55117.65406724","88.88888888888889","20.217995298140632","8","0","11.11111111111111","9"
JSW Infrastructure Ltd,JSWINFRA,"Ports","54818.90248637","94.11764705882354","33.13046785850134","16","0","5.882352941176471","17"
MRF Ltd,MRF,"Tires & Rubber","53915.5303875","37.5","10.521140609636184","3","37.5","25","8"
Hindustan Copper Ltd,HINDCOPPER,"Mining - Copper","53631.1521492","100","28.92174540209159","1","0","0","1"
UPL Ltd,UPL,"Fertilizers & Agro Chemicals","53607.38439243","81.25","24.536927563647826","13","0","18.75","16"
Knowledge Realty Trust,KRT,"Real Estate","52055.416211799","100","10.741971207087486","8","0","0","8"
Godrej Properties Ltd,GODREJPROP,"Real Estate","51789.65898754","76.19047619047619","27.195533325578683","16","4.761904761904762","19.047619047619047","21"
APL Apollo Tubes Ltd,APLAPOLLO,"Building Products - Pipes","51563.94239255","89.47368421052632","21.156642076355613","17","5.2631578947368425","5.2631578947368425","19"
Altius Telecom Infrastructure Trust,ALTIUSINVIT,"Telecom Infrastructure","51196.32","0",,"0","0","0",
Motilal Oswal Financial Services Ltd,MOTILALOFS,"Diversified Financials","50944.445794440006","100","29.363813574339883","4","0","0","4"
Apar Industries Ltd,APARINDS,"Electrical Components & Equipments","50917.356094","100","-16.377406121804984","7","0","0","7"
Patanjali Foods Ltd,PATANJALI,"Packaged Foods & Meats","50830.993015425","100","30.57904313389704","4","0","0","4"
Tata Communications Ltd,TATACOMM,"Telecom Services","50604.6","70","8.132462266276194","7","10","20","10"
Thermax Limited,THERMAX,"Industrial Machinery","49735.514733209995","31.57894736842105","-1.1913659939752295","6","21.05263157894737","47.36842105263158","19"
Sundaram Finance Ltd,SUNDARMFIN,"Consumer Finance","49371.6753925","44.44444444444444","17.84136053207159","4","0","55.55555555555556","9"
NLC India Ltd,NLCINDIA,"Metals - Diversified","49177.067338185","100","9.967573664175955","1","0","0","1"
